Date,Next_Date,Strategy_Return,Long_Stocks,Short_Stocks,Cumulative_Return
2023-02-27,2023-03-13,0.0012110428752398943,"BEL, TATAPOWER, HAVELLS","CUMMINSIND, TRENT, UBL",1.0012110428752399
2023-03-13,2023-03-27,-0.0008022435861543652,"TORNTPHARM, UBL, LTI","HAVELLS, POLYCAB, CUMMINSIND",1.0004078277377064
2023-03-27,2023-04-10,0.0033839054088236433,"TORNTPHARM, UBL, BEL","CUMMINSIND, HAVELLS, TATAPOWER",1.0037931131970175
2023-04-10,2023-04-24,0.010056532590470823,"TRENT, TORNTPHARM, HAVELLS","LTI, CUMMINSIND, POLYCAB",1.0138877913539734
2023-04-24,2023-05-08,0.006805714558695772,"TRENT, HAVELLS, BALKRISIND","POLYCAB, UBL, BEL",1.0207880222564751
2023-05-08,2023-05-22,-0.0097572257135119,"LTI, POLYCAB, BALKRISIND","TRENT, HAVELLS, BEL",1.0108279631176693
2023-05-22,2023-06-05,-0.006047463901272539,"LTI, POLYCAB, BEL","TATAPOWER, HAVELLS, TRENT",1.0047150175003183
2023-06-05,2023-06-19,-0.006515013986750057,"BEL, POLYCAB, LTI","TRENT, CUMMINSIND, TATAPOWER",0.9981692851086059
2023-06-19,2023-07-03,-0.006621746500831326,"BEL, BALKRISIND, TRENT","TORNTPHARM, CUMMINSIND, TATAPOWER",0.9915596611377007
2023-07-03,2023-07-17,-0.006282657758355695,"BEL, TRENT, LTI","CUMMINSIND, TATAPOWER, TORNTPHARM",0.9853300311397813
2023-07-17,2023-07-31,0.008220525934949608,"LTI, UBL, BALKRISIND","POLYCAB, TATAPOWER, CUMMINSIND",0.9934299622152507
2023-07-31,2023-08-14,-0.0034786984138935207,"LTI, BALKRISIND, BEL","UBL, TORNTPHARM, CUMMINSIND",0.9899741189813782
2023-08-14,2023-08-28,-0.00012158426962455976,"POLYCAB, LTI, TATAPOWER","HAVELLS, TORNTPHARM, UBL",0.9898537537011746
2023-08-28,2023-09-11,0.0005245234070517085,"POLYCAB, HAVELLS, LTI","UBL, CUMMINSIND, BEL",0.9903729551645488
2023-09-11,2023-09-25,0.0002289245016570089,"TRENT, TATAPOWER, HAVELLS","UBL, TORNTPHARM, BEL",0.9905996757997644
2023-09-25,2023-10-09,-0.004578348630305915,"TRENT, TATAPOWER, CUMMINSIND","BALKRISIND, UBL, HAVELLS",0.986064365130885
2023-10-09,2023-10-23,-0.002965271824916633,"CUMMINSIND, TORNTPHARM, POLYCAB","UBL, HAVELLS, BALKRISIND",0.983140416251408
2023-10-23,2023-11-06,0.0020633951408849907,"CUMMINSIND, LTI, UBL","TATAPOWER, BEL, BALKRISIND",0.9851690234091088
