Stock,Market_Cap,Weight_Before,Weight_After,Avg_Daily_Volume,Weight_Change,Flow_Amount,Flow_to_Volume_%,Abs_Flow_to_Volume_%
STOCKA,141958,0.0167235741349846,0.0428681509924717,786,0.0261445768574871,2.61445768574871,0.332628204293729,0.332628204293729
STOCKB,35795,0.0059005894036724,0.0767507647407835,1057,0.0708501753371111,7.0850175337111105,0.6702949416945232,0.6702949416945232
STOCKC,20860,0.1983237256250593,0.1573988777880882,662,-0.04092484783697109,-4.092484783697109,-0.6182001183832491,0.6182001183832491
STOCKD,123694,0.0906289775490268,0.1196552890833326,1999,0.029026311534305807,2.9026311534305806,0.14520415975140474,0.14520415975140474
STOCKE,148106,0.1214112729303603,0.0728300656182626,1690,-0.04858120731209771,-4.858120731209771,-0.2874627651603415,0.2874627651603415
STOCKF,139879,0.002050980981678,0.2002314032945784,1367,0.1981804223129004,19.81804223129004,1.4497470542275084,1.4497470542275084
STOCKG,130268,0.3454792702749183,0.0317863443814731,931,-0.3136929258934452,-31.36929258934452,-3.3694191825289495,3.3694191825289495
STOCKH,96820,0.1761564864888768,0.0731035344982635,1628,-0.1030529519906133,-10.30529519906133,-0.6330033906057327,0.6330033906057327
STOCKI,74886,0.0235365416949334,0.0965382919269555,1254,0.0730017502320221,7.30017502320221,0.5821511182776882,0.5821511182776882
STOCKJ,26265,0.0197885809164895,0.1288372776757904,1608,0.1090486967593009,10.90486967593009,0.678163537060329,0.678163537060329
