Date,next_date,Strategy_Return,Long_Stocks,Short_Stocks,Cumulative_Return
2023-01-30,2023-02-13,0.010246088894210326,"TCS, ITC, HDFCBANK","KOTAKBANK, ASIANPAINT, INFY",1.0102460888942104
2023-02-13,2023-02-27,0.014466451471850198,"SBIN, TCS, INFY","KOTAKBANK, RELIANCE, ICICIBANK",1.024860764913825
2023-02-27,2023-03-13,0.010753528096511332,"TCS, ASIANPAINT, LT","KOTAKBANK, RELIANCE, ICICIBANK",1.035881633944338
2023-03-13,2023-03-27,-0.008171709837317307,"HDFCBANK, LT, TCS","KOTAKBANK, RELIANCE, INFY",1.0274167098059388
2023-03-27,2023-04-10,-0.014816584979907127,"KOTAKBANK, TCS, LT","ICICIBANK, ASIANPAINT, SBIN",1.0121939028153226
2023-04-10,2023-04-24,-0.0048336270026988785,"KOTAKBANK, TCS, RELIANCE","SBIN, LT, HDFCBANK",1.0073013350347073
2023-04-24,2023-05-08,0.004408636999680703,"KOTAKBANK, INFY, ICICIBANK","ITC, SBIN, TCS",1.0117421609701691
2023-05-08,2023-05-22,-0.022533716698914713,"KOTAKBANK, INFY, LT","ITC, ASIANPAINT, SBIN",0.9889438497425196
2023-05-22,2023-06-05,0.019334361950015543,"SBIN, ASIANPAINT, LT","RELIANCE, ICICIBANK, HDFCBANK",1.0080644480816832
2023-06-05,2023-06-19,-0.006505810693701562,"SBIN, ASIANPAINT, HDFCBANK","KOTAKBANK, RELIANCE, ICICIBANK",1.001506171615413
2023-06-19,2023-07-03,-0.0012444514204090608,"SBIN, HDFCBANK, ASIANPAINT","KOTAKBANK, LT, ITC",1.0002598458375977
2023-07-03,2023-07-17,0.0053171289207377065,"SBIN, KOTAKBANK, ICICIBANK","ITC, LT, TCS",1.0055783563921534
2023-07-17,2023-07-31,0.009703353163892169,"KOTAKBANK, ITC, ICICIBANK","LT, INFY, ASIANPAINT",1.0153358383181927
2023-07-31,2023-08-14,0.004761780118491419,"ICICIBANK, ITC, HDFCBANK","LT, INFY, SBIN",1.020170644326688
2023-08-14,2023-08-28,0.009946103684448699,"HDFCBANK, ASIANPAINT, ITC","LT, INFY, SBIN",1.030317367330992
2023-08-28,2023-09-11,0.0074242598306462175,"ASIANPAINT, HDFCBANK, RELIANCE","ICICIBANK, LT, SBIN",1.0379667111740847
2023-09-11,2023-09-25,-0.009995418212165444,"RELIANCE, INFY, TCS","LT, SBIN, ITC",1.0275917998055937
2023-09-25,2023-10-09,-0.014150068331393796,"RELIANCE, KOTAKBANK, TCS","ASIANPAINT, SBIN, HDFCBANK",1.0130513056215646
2023-10-09,2023-10-23,0.004767085980489725,"LT, SBIN, KOTAKBANK","ICICIBANK, ITC, RELIANCE",1.01788060829811
2023-10-23,2023-11-06,-0.006124434568810663,"SBIN, RELIANCE, HDFCBANK","ITC, ICICIBANK, TCS",1.011646665113727
2023-11-06,2023-11-20,0.0002509868050700875,"RELIANCE, HDFCBANK, INFY","TCS, ASIANPAINT, LT",1.0119005750780639
2023-11-20,2023-12-04,-0.0021518709296658306,"ITC, ICICIBANK, INFY","TCS, LT, HDFCBANK",1.0097230956468413
2023-12-04,2023-12-18,0.004877841400448527,"ITC, ICICIBANK, INFY","RELIANCE, HDFCBANK, ASIANPAINT",1.0146483647657765
2023-12-18,2024-01-01,0.013988907396706713,"TCS, ITC, LT","KOTAKBANK, HDFCBANK, RELIANCE",1.028842186780705
2024-01-01,2024-01-15,0.01802281714509804,"ITC, INFY, ICICIBANK","KOTAKBANK, HDFCBANK, ASIANPAINT",1.0473848213842163
2024-01-15,2024-01-29,-0.004346404765504355,"ITC, ICICIBANK, INFY","KOTAKBANK, ASIANPAINT, TCS",1.042832463005235
2024-01-29,2024-02-12,-0.002754798375317346,"ICICIBANK, ITC, TCS","RELIANCE, KOTAKBANK, ASIANPAINT",1.03995966983042
2024-02-12,2024-02-26,-0.0009881590881954713,"ITC, KOTAKBANK, ICICIBANK","INFY, SBIN, LT",1.0389320242313205
2024-02-26,2024-03-11,-0.012963776804150276,"KOTAKBANK, LT, RELIANCE","TCS, SBIN, ICICIBANK",1.0254635413545017
2024-03-11,2024-03-25,0.024514682150658797,"ASIANPAINT, KOTAKBANK, RELIANCE","HDFCBANK, TCS, ITC",1.0506024541278962
2024-03-25,2024-04-08,0.006331426459126669,"INFY, RELIANCE, ICICIBANK","TCS, ITC, KOTAKBANK",1.057254266303985
2024-04-08,2024-04-22,-0.017932446060729183,"KOTAKBANK, RELIANCE, ICICIBANK","TCS, ITC, HDFCBANK",1.038295111201013
2024-04-22,2024-05-06,0.006465923028403935,"LT, SBIN, ITC","TCS, ASIANPAINT, HDFCBANK",1.045008647470807
2024-05-06,2024-05-20,-0.015447426385416343,"LT, ITC, SBIN","RELIANCE, ASIANPAINT, KOTAKBANK",1.0288659533168782
2024-05-20,2024-06-03,2.581282051429719e-05,"ICICIBANK, KOTAKBANK, ASIANPAINT","RELIANCE, ITC, HDFCBANK",1.0288925112490646
2024-06-03,2024-06-17,0.017125623248101754,"ICICIBANK, ASIANPAINT, ITC","LT, HDFCBANK, TCS",1.0465129367595094
2024-06-17,2024-07-01,-0.008430340669841552,"ITC, RELIANCE, ASIANPAINT","HDFCBANK, LT, KOTAKBANK",1.0376904761872303
2024-07-01,2024-07-15,-0.002205699373179243,"TCS, RELIANCE, INFY","HDFCBANK, SBIN, KOTAKBANK",1.03540164295435
2024-07-15,2024-07-29,-0.0018437540778354668,"TCS, LT, HDFCBANK","ICICIBANK, ASIANPAINT, SBIN",1.0334926169529555
2024-07-29,2024-08-12,-0.00639861144581352,"TCS, ITC, KOTAKBANK","SBIN, ICICIBANK, RELIANCE",1.0268796992649565
2024-08-12,2024-08-26,0.00395490245141399,"INFY, ITC, RELIANCE","SBIN, HDFCBANK, ICICIBANK",1.0309409083048868
2024-08-26,2024-09-09,-0.025247351030691183,"INFY, ITC, RELIANCE","ASIANPAINT, KOTAKBANK, HDFCBANK",1.0049123813010137
2024-09-09,2024-09-23,0.00044174817079480647,"TCS, HDFCBANK, SBIN","ASIANPAINT, INFY, ITC",1.0053562995072625
